TP,FP,FN,TN,Precision,Recall,F1,IoU,Accuracy,Image,Inference_ms
1241,10130,71,161614,0.10913727904222023,0.9458841462693686,0.19569500628439623,0.10846005942922163,0.941053762943787,3174.rf.8ec774fc4db15af6b7d1e920c31f759c.jpg,3.005300008226186
2931,60118,7288,102719,0.04648765246071074,0.2868186711000409,0.08000761916855949,0.04167081336985986,0.610496024408284,3202.rf.e847435a50534b2273e1e2b8177f946e.jpg,4.4830999977421016
1508,29207,495,141846,0.049096532638616,0.7528706939214742,0.09218166220143018,0.048317846843805454,0.8283676960059172,3206.rf.ec6794d42a29e7bd3f3252073c6eed71.jpg,3.7142999935895205
5810,244,870,166132,0.959696068699047,0.8697604790288959,0.9125176193384821,0.8391103408313243,0.9935627773668639,3207.rf.f408ffa769bb22f0cc56b51300ed9ce1.jpg,2.3197000264190137
3507,399,155,168995,0.897849462342605,0.9576734024861367,0.9267969901966175,0.8635803988952578,0.996798724112426,3215.rf.2e19342a5e9557ad837d3b98267d1ffc.jpg,2.283500012708828
2546,60668,12,109830,0.040275888252538555,0.9953088349884556,0.07741895500032954,0.04026824407674016,0.6493620562130178,3225.rf.00490d0babc76539398c471f17b0d6e7.jpg,6.4362999983131886
2848,21806,84,148318,0.11551877991354133,0.9713506138822868,0.206481529612294,0.11512652599193497,0.8735091531065089,3227.rf.1bfaf73652a764c8825e813c25a347a8.jpg,4.678500001318753
1779,17051,8,154218,0.09447689856561615,0.9955232232235297,0.1725760136558923,0.09443677672738912,0.9014249722633136,3229.rf.66af8e45c447ae474773ccf8e7c50a5a.jpg,3.171799995470792
1842,254,260,170700,0.8788167938512016,0.8763082777889483,0.8775606931693494,0.7818336162656268,0.9970298631656804,3231.rf.4888b161d3d270231d4cc729b7348d7e.jpg,2.1231000137049705
2311,365,62,170318,0.8636023915970253,0.9738727348936421,0.9154287479255512,0.8440467494213277,0.9975325906065089,3240.rf.a3096e02cbb77913c600a48e6673fc34.jpg,2.1591999975498766
834,70,2211,169941,0.9225663715793622,0.2738916256067688,0.4223853787044918,0.267736757615803,0.9868192954881657,3258.rf.1b9e5091cb3dc7fe0abf4e44dd3e0dc7.jpg,2.0539000106509775
1494,1074,27,170461,0.5817757009119247,0.98224852064548,0.7307409657149008,0.5757225433304154,0.9936378975591716,3259.rf.a92a5f313a7c48a2a4e7973db4fb19e2.jpg,2.074699994409457
2652,6394,342,163668,0.2931682511574931,0.8857715430565875,0.44053152408772295,0.2824882829113497,0.9610761834319527,3262.rf.c9dc3251366364177a515678a4b7deca.jpg,3.296199982287362
2434,3119,97,167406,0.4383216279409631,0.9616752271449358,0.6021770970020439,0.43079646016936646,0.9814164201183432,3266.rf.e869e737911fd5b9235a9dcb6e297cc3.jpg,2.9538999951910228
1580,368,121,170987,0.811088295646248,0.9288653732552107,0.8659906325603675,0.7636539390641057,0.9971743250739645,3275.rf.f98acf5215d6730828f485c270ae7b54.jpg,2.1093999966979027
5218,67791,1033,99014,0.0714706406058548,0.8347464405561551,0.1316679138073851,0.07047351503191368,0.6023021449704142,3303.rf.061ce24aaf7333b08a68618808e54a9c.jpg,5.0196999800391495
8,2307,1357,169384,0.0034557235419673555,0.005860805860376498,0.004347779419348381,0.0021786492374134356,0.9788276627218935,3306.rf.b72adcdf677fa01eeccf1247826ff0d8.jpg,2.077899989672005
1397,169,936,170554,0.8920817368523575,0.5987998285212688,0.7165939503592703,0.5583533173238069,0.9936147836538461,3313.rf.5f0a7ba195fe30e2ed30165df414b94e.jpg,3.264400002080947
3502,123,264,169167,0.9660689654905913,0.9298990971606507,0.9476389704228098,0.9004885574466318,0.9977637296597633,3351.rf.1c54d04ac035ecc049785b24e7435668.jpg,1.9268000032752752
1834,1361,26,169835,0.5740219092152106,0.9860215053233321,0.7256181532607774,0.5693883886814844,0.9919852533284024,3354.rf.0a71b77956ae50ad6ea1195c2ac55cd0.jpg,2.5434000126551837
1831,33440,43,137742,0.0519123359132094,0.9770544289766779,0.09858661042103455,0.05184912499277383,0.8065192769970414,3376.rf.06fe7c72959b6ae5c03d19165ea3d515.jpg,4.03290000394918
3924,3109,4355,161668,0.5579411346429981,0.4739702862607323,0.5125391352773753,0.3445732349811681,0.9568694526627219,3443.rf.ae3196f72376757297122e81626f6f60.jpg,2.808499993989244
3886,6845,1260,161065,0.3621284130056646,0.7551496307665148,0.48951308838464513,0.3240763906236004,0.9531654493343196,3456.rf.30895a89b64e39620e28cd70e6330319.jpg,3.179799998179078
3665,10366,173,158852,0.26120732663202045,0.9549244397875215,0.41020758840378685,0.2580259081930581,0.939100637943787,3481.rf.df8774688622b789d11a98521eb9ea1f.jpg,2.7630999975372106
2152,548,257,170099,0.7970370370075172,0.8933167288960848,0.8424348689000336,0.7277646262858383,0.9953483265532544,3498.rf.d6a2177504b9a25c571a3c936d1ae1a8.jpg,2.3255000123754144
